P1	P2	P3	Dstatistic	Z-score	p-value	f4-ratio	BBAA	ABBA	BABA
HART030	HART001	H6	0.0601799	8.46516	2.3e-16	0.0741634	318993	113226	100371
H6	HART001	HART032	0.128596	23.177	2.3e-16	0.269802	80458.5	249305	192492
HART033	HART001	H6	0.0513331	7.59379	3.10681e-14	0.0739227	288900	131170	118361
H6	HART001	HART038	0.127977	23.0746	2.3e-16	0.269791	80637	249256	192696
HART046	HART001	H6	0.0312748	6.54869	5.80423e-11	0.0861061	169216	249276	234157
HART049	H6	HART001	0.129436	43.2195	2.3e-16	0.117323	273417	204881	157921
H6	HART050	HART001	0.190415	32.6581	2.3e-16	0.233968	110161	258386	175725
HART053	H6	HART001	0.136415	42.4465	2.3e-16	0.123112	273119	206608	157006
H6	HART001	HART063	0.0765535	14.2124	2.3e-16	0.0155767	478923	134263	115168
HART067	HART001	H6	0.0881232	22.5178	2.3e-16	0.267574	60849.1	361934	303311
HART001	HART069	H6	0.000276964	0.189794	0.84947	0.00021649	415464	62733.1	62698.4
ZZ3	HART001	H6	0.0553374	13.6563	2.3e-16	0.172999	94902.5	320091	286523
ZZ7	HART001	H6	0.0457292	10.7715	2.3e-16	0.151752	83965.4	328246	299538
ZZ9	HART001	H6	0.0450441	10.3337	2.3e-16	0.14438	99179.7	314113	287035
H6	HART030	HART032	0.0902041	16.3898	2.3e-16	0.191672	78652	243901	203540
HART030	HART033	H6	0.000181739	0.0274164	0.978128	0.000259889	293412	123950	123905
H6	HART030	HART038	0.0897996	16.3236	2.3e-16	0.191736	78798.6	243908	203712
HART046	HART030	H6	0.0046802	1.00157	0.31655	0.0128992	168425	243104	240839
HART049	H6	HART030	0.124143	41.6725	2.3e-16	0.106116	281304	199914	155760
HART050	HART030	H6	0.186699	30.9635	2.3e-16	0.233193	261710	167516	114806
HART053	H6	HART030	0.122126	39.4749	2.3e-16	0.104806	279418	200052	156507
H6	HART030	HART063	0.0763326	13.8647	2.3e-16	0.0159537	469226	137882	118325
HART067	HART030	H6	0.0693844	17.8707	2.3e-16	0.208903	62767.1	352708	306939
