P1	P2	P3	Dstatistic	Z-score	p-value	f4-ratio	BBAA	ABBA	BABA
HART030	HART001	H6	0.0601799	8.46516	2.3e-16	0.0741634	318993	113226	100371
H6	HART032	HART001	0.512024	127.704	2.3e-16	0.477913	192492	249305	80458.5
HART033	HART001	H6	0.0513331	7.59379	3.10681e-14	0.0739227	288900	131170	118361
H6	HART038	HART001	0.511132	127.038	2.3e-16	0.477266	192696	249256	80637
HART001	H6	HART046	0.160995	33.7157	2.3e-16	0.277058	249276	234157	169216
HART001	H6	HART049	0.267761	74.3525	2.3e-16	0.669017	204881	273417	157921
H6	HART001	HART050	0.402187	80.0688	2.3e-16	0.358314	175725	258386	110161
HART001	H6	HART053	0.269953	74.449	2.3e-16	0.636853	206608	273119	157006
H6	HART001	HART063	0.0765535	14.2124	2.3e-16	0.0155767	478923	134263	115168
HART001	H6	HART067	0.665811	174.111	2.3e-16	0.311461	361934	303311	60849.1
HART001	HART069	H6	0.000276964	0.189794	0.84947	0.00021649	415464	62733.1	62698.4
HART001	H6	ZZ3	0.50238	59.4563	2.3e-16	0.305622	320091	286523	94902.5
HART001	H6	ZZ7	0.562114	68.6307	2.3e-16	0.311748	328246	299538	83965.4
HART001	H6	ZZ9	0.486401	51.4326	2.3e-16	0.297186	314113	287035	99179.7
H6	HART032	HART030	0.512316	125.943	2.3e-16	0.444289	203540	243901	78652
HART030	HART033	H6	0.000181739	0.0274164	0.978128	0.000259889	293412	123950	123905
H6	HART038	HART030	0.511639	125.841	2.3e-16	0.443914	203712	243908	78798.6
HART030	H6	HART046	0.176937	38.8473	2.3e-16	0.299394	243104	240839	168425
HART030	H6	HART049	0.287245	85.0843	2.3e-16	0.687223	199914	281304	155760
H6	HART030	HART050	0.390165	77.0875	2.3e-16	0.355121	167516	261710	114806
HART030	H6	HART053	0.281954	80.1156	2.3e-16	0.649905	200052	279418	156507
H6	HART030	HART063	0.0763326	13.8647	2.3e-16	0.0159537	469226	137882	118325
HART030	H6	HART067	0.660448	171.198	2.3e-16	0.31297	352708	306939	62767.1
HART030	HART069	H6	0.060344	8.4912	2.3e-16	0.0743639	318961	113241	100352
HART030	H6	ZZ3	0.501392	59.9396	2.3e-16	0.308278	311216	290502	96474.6
HART030	H6	ZZ7	0.571534	72.9454	2.3e-16	0.317405	320111	304257	82953.3
HART030	H6	ZZ9	0.494378	54.4461	2.3e-16	0.302988	306095	291871	98754.3
