pop1	pop2	pop3	pop4	est	se	z	p	cultivar	ci_low	ci_high	interpretation
HART063	HART067	ZZ7	HART061	-0.03582766294618535	5.888298927825056e-4	-60.845523274782025	0	ZZ7	-0.03698176953603906	-0.03467355635633164	camansi-like
HART063	HART067	ZZ3	HART061	-0.03407780638347268	6.148931418935552e-4	-55.420696803562535	0	ZZ3	-0.03528299694158405	-0.03287261582536131	camansi-like
HART063	HART067	ZZ9	HART061	-0.03341431274974913	6.402771084274413e-4	-52.187267528299856	0	ZZ9	-0.034669255882266915	-0.03215936961723135	camansi-like
HART063	HART067	HART053	HART061	-0.020553949123844804	3.2695326549146746e-4	-62.86509814468026	0	HART053	-0.02119477752420808	-0.019913120723481528	camansi-like
HART063	HART067	HART049	HART061	-0.020516246647557346	2.973899302443187e-4	-68.98769783732207	0	HART049	-0.021099130910836213	-0.01993336238427848	camansi-like
HART063	HART067	H6	HART061	-0.017074884924208097	2.854012882839372e-4	-59.82763787394262	0	H6	-0.017634271449244614	-0.01651549839917158	camansi-like
HART063	HART067	HART038	HART061	-0.003004068957563332	3.149831410529141e-4	-9.537237286800304	1.466879260945403e-21	HART038	-0.0036214359140270434	-0.0023867020010996205	camansi-like
HART063	HART067	HART032	HART061	-0.0029983331448442665	3.1539910227560715e-4	-9.506473300688771	1.972359752470862e-21	HART032	-0.0036165153853044566	-0.0023801509043840765	camansi-like
HART063	HART067	HART001	HART061	-0.0024384059051674864	3.126474639822479e-4	-7.799218564286639	6.229169581766211e-15	HART001	-0.0030511949345726924	-0.0018256168757622804	camansi-like
HART063	HART067	HART069	HART061	-0.002438266007296295	3.12700720362206e-4	-7.7974428855552835	6.317421425386387e-15	HART069	-0.0030511594192062187	-0.0018253725953863715	camansi-like
HART063	HART067	HART033	HART061	-0.0023661906240558727	3.0527023382224397e-4	-7.751134443830785	9.107519684681448e-15	HART033	-0.002964520282347471	-0.0017678609657642745	camansi-like
HART063	HART067	HART030	HART061	-0.0023168486448848728	3.1271362924784757e-4	-7.408850872465834	1.2739846337815482e-13	HART030	-0.002929767358210654	-0.0017039299315590914	camansi-like
HART063	HART067	HART046	HART061	-0.002192927110579031	9.713763571498407e-4	-2.2575463098704582	0.023973959194159202	HART046	-0.004096824770592719	-2.890294505653434e-4	camansi-like
HART063	HART067	HART050	HART061	-0.002098412108798695	3.090582838135167e-4	-6.789697020594536	1.123692786629072e-11	HART050	-0.0027041663450731875	-0.0014926578725242023	camansi-like
