Classification	Coverage	CopyNumber	GenomeCoverage	GenomeSize	TE_Family_Count	Accession
DNA	36096503	42090	4.52224587040272	798198595	84	H6
DNA-nested	302926	1931	0.0379512068672584	798198595	68	H6
Rolling Circle	3214778	5478	0.402754154183897	798198595	18	H6
Rolling Circle-nested	73814	325	0.00924757328093267	798198595	14	H6
Penelope	0	0	0	798198595	NA	H6
Penelope-nested	0	0	0	798198595	NA	H6
LINE	2977044	8557	0.37297033829031	798198595	45	H6
LINE-nested	21463	280	0.00268892981451565	798198595	12	H6
SINE	17326	121	0.00217063774711355	798198595	1	H6
SINE-nested	252	3	0.0000315710904001278	798198595	1	H6
LTR	317115139	237305	39.7288520659448	798198595	539	H6
LTR-nested	3372074	8752	0.422460528134605	798198595	393	H6
Other (Simple Repeat, Microsatellite, RNA)	17751013	296878	2.22388427030494	798198595	6442	H6
Other (Simple Repeat, Microsatellite, RNA)-nested	808253	15963	0.101259637020534	798198595	1127	H6
Unclassified	157728540	457426	19.7605634723023	798198595	782	H6
Unclassified-nested	1963109	10513	0.245942427398034	798198595	575	H6
Total Interspersed Repeat	534900343	1047855	67.0134408091761	798198595	NA	H6
Non-Repeat	263298252	notApplicable	32.9865591908239	798198595	NA	H6
DNA	34089365	35244	4.04237089324524	843301268	89	HART001
DNA-nested	98968	887	0.0117357821878669	843301268	69	HART001
Rolling Circle	3454114	8375	0.40959430882772	843301268	20	HART001
Rolling Circle-nested	48898	436	0.00579840228581276	843301268	15	HART001
Penelope	0	0	0	843301268	NA	HART001
Penelope-nested	0	0	0	843301268	NA	HART001
LINE	3236671	9949	0.383809573496337	843301268	46	HART001
LINE-nested	26534	299	0.00314644374517886	843301268	18	HART001
SINE	9118	94	0.00108122688130477	843301268	1	HART001
SINE-nested	3580	2	0.000424522070088954	843301268	1	HART001
LTR	349018114	253500	41.3871207412912	843301268	544	HART001
LTR-nested	4750381	12090	0.563307702746155	843301268	370	HART001
Other (Simple Repeat, Microsatellite, RNA)	18683593	297588	2.21553004945796	843301268	6509	HART001
Other (Simple Repeat, Microsatellite, RNA)-nested	940085	17568	0.111476768228931	843301268	1142	HART001
Unclassified	165310331	470514	19.6027608724051	843301268	753	HART001
Unclassified-nested	1961798	11437	0.232633113982226	843301268	564	HART001
Total Interspersed Repeat	573801306	1075264	68.0422676656049	843301268	NA	HART001
Non-Repeat	269499962	notApplicable	31.9577323343951	843301268	NA	HART001
DNA	32204668	34200	3.84989233047362	836508277	73	HART030
DNA-nested	209947	1260	0.0250980182471046	836508277	53	HART030
Rolling Circle	7289663	17344	0.871439434663239	836508277	24	HART030
Rolling Circle-nested	207123	1130	0.024760424456625	836508277	21	HART030
Penelope	0	0	0	836508277	NA	HART030
Penelope-nested	0	0	0	836508277	NA	HART030
LINE	3334758	9470	0.398652122362682	836508277	45	HART030
LINE-nested	30774	318	0.00367886377769816	836508277	16	HART030
SINE	9647	99	0.00115324620989973	836508277	1	HART030
SINE-nested	52	1	0.00000621631625529032	836508277	1	HART030
LTR	333017697	224891	39.8104485223163	836508277	509	HART030
LTR-nested	3400001	8477	0.406451567005834	836508277	372	HART030
Other (Simple Repeat, Microsatellite, RNA)	18639924	299143	2.22830120304954	836508277	6562	HART030
Other (Simple Repeat, Microsatellite, RNA)-nested	713497	16963	0.0852946730615554	836508277	1158	HART030
Unclassified	173273141	480606	20.7138585192983	836508277	789	HART030
Unclassified-nested	1758406	10604	0.21020784233077	836508277	593	HART030
Total Interspersed Repeat	567769498	1065753	67.8737453783736	836508277	NA	HART030
Non-Repeat	268738779	notApplicable	32.1262546216264	836508277	NA	HART030
DNA	32677257	37709	3.90177671450771	837496848	78	HART032
DNA-nested	163582	1382	0.0195322526157137	837496848	59	HART032
Rolling Circle	6415072	17337	0.765981629103397	837496848	24	HART032
Rolling Circle-nested	144541	905	0.0172586918201751	837496848	19	HART032
Penelope	0	0	0	837496848	NA	HART032
Penelope-nested	0	0	0	837496848	NA	HART032
LINE	3211775	10862	0.383496965710371	837496848	38	HART032
LINE-nested	236494	415	0.0282381958290069	837496848	15	HART032
SINE	51352	175	0.00613160516635162	837496848	1	HART032
SINE-nested	16	1	0.00000191045495134807	837496848	1	HART032
LTR	339140041	230107	40.4944856580523	837496848	519	HART032
LTR-nested	3225840	7723	0.385176375016041	837496848	355	HART032
Other (Simple Repeat, Microsatellite, RNA)	16101281	297580	1.92254825059354	837496848	6544	HART032
Other (Simple Repeat, Microsatellite, RNA)-nested	859417	17104	0.102617341432669	837496848	1144	HART032
Unclassified	171658115	476168	20.4965684838016	837496848	814	HART032
Unclassified-nested	1959427	11561	0.233962313372193	837496848	633	HART032
Total Interspersed Repeat	569254893	1069938	67.9709893069353	837496848	NA	HART032
Non-Repeat	268241955	notApplicable	32.0290106930647	837496848	NA	HART032
DNA	30131305	28063	3.61406624628281	833723096	62	HART033
DNA-nested	180094	994	0.0216011768012722	833723096	42	HART033
Rolling Circle	3782984	7817	0.453745856166134	833723096	14	HART033
Rolling Circle-nested	86135	444	0.0103313678622141	833723096	11	HART033
Penelope	0	0	0	833723096	NA	HART033
Penelope-nested	0	0	0	833723096	NA	HART033
LINE	2513288	7559	0.301453565585282	833723096	37	HART033
LINE-nested	15758	155	0.00189007598273372	833723096	14	HART033
SINE	25035	110	0.00300279554688023	833723096	1	HART033
SINE-nested	2980	7	0.000357432823235594	833723096	1	HART033
LTR	327898135	217220	39.3293812505825	833723096	437	HART033
LTR-nested	5409166	11796	0.648796468030196	833723096	285	HART033
Other (Simple Repeat, Microsatellite, RNA)	20753974	319210	2.4893125906638	833723096	6628	HART033
Other (Simple Repeat, Microsatellite, RNA)-nested	1419346	17272	0.170241895277902	833723096	1149	HART033
Unclassified	173816162	492204	20.848188425381	833723096	724	HART033
Unclassified-nested	1994596	11300	0.239239623991417	833723096	507	HART033
Total Interspersed Repeat	558920883	1072183	67.0391507302084	833723096	NA	HART033
Non-Repeat	274802213	notApplicable	32.9608492697916	833723096	NA	HART033
DNA	34180921	42682	4.07802361345892	838173690	76	HART038
DNA-nested	277834	2001	0.0331475448722329	838173690	57	HART038
Rolling Circle	3342852	7264	0.398825689696846	838173690	12	HART038
Rolling Circle-nested	103327	448	0.0123276358149586	838173690	9	HART038
Penelope	0	0	0	838173690	NA	HART038
Penelope-nested	0	0	0	838173690	NA	HART038
LINE	2098510	7617	0.250366961530372	838173690	37	HART038
LINE-nested	21233	313	0.00253324582402485	838173690	19	HART038
